step,epoch,lr-Adam,train/CER,train/DER,train/IER,train/SER,train/loss,val/CER,val/DER,val/IER,val/SER,val/loss
8999,75,,9.43484592437744,4.910855770111084,1.9618641138076784,2.5621256828308105,0.3257615864276886,22.374834060668945,3.9654407501220703,6.468763828277588,11.940629005432127,0.8208739757537842
9000,76,0.0002784351236186,,,,,,,,,,
9049,76,,,,,,0.4373648762702942,,,,,
9099,76,,,,,,0.3406392931938171,,,,,
9119,76,,10.685897827148438,4.88765811920166,2.460360050201416,3.3378794193267822,,20.64687728881836,4.541426658630371,5.272485733032227,10.832963943481444,0.8030759692192078
9120,77,0.0002728649997152,,,,,,,,,,
9149,77,,,,,,0.303604781627655,,,,,
9199,77,,,,,,0.3130665421485901,,,,,
9239,77,,9.00739860534668,4.7498555183410645,1.8977419137954712,2.3598008155822754,,18.74169158935547,4.142667293548584,4.674346446990967,9.924678802490234,0.7208881974220276
9240,78,0.0002672836126293,,,,,,,,,,
9249,78,,,,,,0.3454366028308868,,,,,
9299,78,,,,,,0.4517738819122314,,,,,
9349,78,,,,,,0.3209570646286011,,,,,
9359,78,,9.09615993499756,4.667730331420898,2.006546258926392,2.421883583068848,,20.24811744689941,4.342046737670898,4.474967002868652,11.431103706359863,0.7896325588226318
9360,79,0.0002616937854327,,,,,,,,,,
9399,79,,,,,,0.3117656707763672,,,,,
9449,79,,,,,,0.2539404034614563,,,,,
9479,79,,8.598918914794922,4.582887172698975,1.8364490270614624,2.179582118988037,,20.18165779113769,4.076207160949707,5.028799057006836,11.076650619506836,0.8096787929534912
9480,80,0.0002560982829891,,,,,,,,,,
9499,80,,,,,,0.3364413976669311,,,,,
9549,80,,,,,,0.2485540062189102,,,,,
9599,80,,8.3881196975708,4.564813137054443,1.7283439636230469,2.0949623584747314,0.3259438574314117,21.57731437683105,4.054054260253906,5.361098766326904,12.162161827087402,0.8280144333839417
9600,81,0.0002504999865777,,,,,,,,,,
9649,81,,,,,,0.2489824891090393,,,,,
9699,81,,,,,,0.3021470904350281,,,,,
9719,81,,7.943410873413086,4.326764106750488,1.683089256286621,1.933557152748108,,19.60567092895508,3.721754550933838,4.940186023712158,10.943730354309082,0.7509616613388062
9720,82,0.0002449016901664,,,,,,,,,,
9749,82,,,,,,0.2695646584033966,,,,,
9799,82,,,,,,0.2634824812412262,,,,,
9839,82,,8.152226448059082,4.381062984466553,1.7358667850494385,2.03529691696167,,19.58351707458496,3.65529465675354,5.228178977966309,10.700044631958008,0.7813776135444641
9840,83,0.0002393062313785,,,,,,,,,,
9849,83,,,,,,0.2879136204719543,,,,,
9899,83,,,,,,0.3274415135383606,,,,,
9949,83,,,,,,0.2651176154613495,,,,,
9959,83,,7.6782145500183105,4.290929317474365,1.6640264987945557,1.723259210586548,,20.95702171325684,3.9654407501220703,4.674346446990967,12.317234992980955,0.8681719899177551
9960,84,0.0002337163896299,,,,,,,,,,
9999,84,,,,,,0.262920618057251,,,,,
10049,84,,,,,,0.2911869287490845,,,,,
10079,84,,7.440681457519531,4.308705806732178,1.5267175436019895,1.6052581071853638,,20.86841011047364,3.743907928466797,5.338945388793945,11.785555839538574,0.860905647277832
10080,85,0.0002281349879922,,,,,,,,,,
10099,85,,,,,,0.2174128890037536,,,,,
10149,85,,,,,,0.325111985206604,,,,,
10199,85,,7.324195861816406,4.169708728790283,1.5855085849761963,1.5689785480499268,0.2869080901145935,20.2702693939209,3.65529465675354,5.959238052368164,10.65573787689209,0.8205333352088928
10200,86,0.0002225648640887,,,,,,,,,,
10249,86,,,,,,0.2132505029439926,,,,,
10299,86,,,,,,0.309083342552185,,,,,
10319,86,,7.673345565795898,4.386146068572998,1.6745851039886477,1.6126145124435425,,19.53921127319336,4.164820671081543,4.342046737670898,11.032343864440918,0.750390350818634
10320,87,0.0002170087973354,,,,,,,,,,
10349,87,,,,,,0.3551364541053772,,,,,
10399,87,,,,,,0.2791075110435486,,,,,
10439,87,,7.445871829986572,4.232578754425049,1.5543756484985352,1.6589176654815674,,19.53921127319336,3.610988140106201,4.918032646179199,11.010190963745115,0.8223678469657898
10440,88,0.0002114695962518,,,,,,,,,,
10449,88,,,,,,0.3191950023174286,,,,,
10499,88,,,,,,0.3581395149230957,,,,,
10549,88,,,,,,0.2325851917266845,,,,,
